Index, accelX, accelY, accelZ, magX, magY, magZ, gyroX, gyroY, gyroZ, temp, rH, pressure, proximity, maxAudio
146,  -0.108, -0.447,  0.825, 40.810, 58.300, 12.070,  4.330,  0.610,  0.120, 31.940, 37.600, 96.940, 249, 338
147,  -0.150, -0.635,  0.871, -16.890, 55.820, 15.890,  4.640,  0.920,  0.060, 31.900, 37.500, 96.940, 247, 356
148,  -0.023, -0.594,  0.814, -63.620, 54.990, 22.020,  4.520,  1.160,  0.060, 31.940, 37.620, 96.940, 249, 390
149,  -0.030, -0.472,  0.769, -85.160, 53.980, 24.410,  4.150,  0.920, -0.060, 31.960, 37.590, 96.940, 248, 240
150,  -0.124, -0.572,  0.842, -72.920, 52.110, 26.980,  4.820,  0.670,  0.180, 31.940, 37.580, 96.940, 248, 295
151,  -0.099, -0.628,  0.887, -32.200, 48.130, 28.200,  4.390,  1.340, -0.120, 31.900, 37.480, 96.940, 248, 424
152,  -0.011, -0.548,  0.801,  1.570, 44.980, 29.140,  4.150,  1.100, -0.180, 31.960, 37.580, 96.940, 248, 397
153,  -0.077, -0.502,  0.742, 29.040, 49.280, 26.170,  4.880,  0.790,  0.240, 31.900, 37.560, 96.940, 248, 396
154,  -0.109, -0.570,  0.880, 79.320, 53.330, 20.390,  4.390,  1.340, -0.060, 31.900, 37.570, 96.940, 249, 256
155,  -0.066, -0.564,  0.906, 135.570, 54.420, 14.530,  4.030,  1.280, -0.310, 31.940, 37.570, 96.940, 247, 365
156,  -0.032, -0.600,  0.748, 176.570, 55.350, 11.340,  4.880,  0.550,  0.180, 31.920, 37.520, 96.940, 250, 342
157,  -0.051, -0.460,  0.797, 189.590, 56.320,  8.650,  4.520,  1.040,  0.000, 31.920, 37.520, 96.940, 247, 315
158,  -0.118, -0.599,  0.896, 168.970, 58.940,  6.350,  4.270,  0.790,  0.000, 31.870, 37.470, 96.940, 247, 316
159,  -0.071, -0.579,  0.865, 124.790, 62.990,  5.020,  4.330,  0.790, -0.120, 31.940, 37.570, 96.940, 249, 318
160,  -0.005, -0.561,  0.750, 96.340, 64.360,  4.980,  4.820,  0.850,  0.120, 31.940, 37.520, 96.940, 250, 213
161,  -0.078, -0.472,  0.836, 64.560, 60.010,  8.850,  4.330,  1.100, -0.180, 31.900, 37.510, 96.940, 246, 357
162,  -0.142, -0.578,  0.897,  9.890, 56.230, 15.360,  4.580,  0.730,  0.120, 31.900, 37.540, 96.940, 248, 398
163,  -0.042, -0.640,  0.803, -43.870, 54.970, 18.900,  4.880,  0.610,  0.060, 31.940, 37.590, 96.940, 248, 306
164,  -0.019, -0.462,  0.802, -78.550, 54.790, 21.860,  4.330,  1.340, -0.060, 31.900, 37.580, 96.940, 246, 338
165,  -0.152, -0.555,  0.861, -83.980, 52.860, 25.290,  4.460,  0.670,  0.060, 31.900, 37.530, 96.940, 248, 353
166,  -0.117, -0.615,  0.846, -53.940, 49.870, 25.880,  4.700,  0.670,  0.180, 31.920, 37.540, 96.940, 248, 332
167,   0.012, -0.604,  0.786, -10.560, 46.090, 28.120,  4.520,  1.220, -0.180, 31.900, 37.540, 96.940, 247, 378
168,  -0.069, -0.435,  0.794, 15.330, 47.060, 27.060,  4.460,  0.850, -0.060, 31.900, 37.540, 96.940, 250, 283
169,  -0.143, -0.565,  0.874, 56.950, 51.160, 22.970,  4.880,  0.790, -0.060, 31.900, 37.540, 96.920, 248, 260
170,  -0.071, -0.619,  0.866, 116.060, 54.270, 16.310,  4.700,  0.790, -0.060, 31.940, 37.570, 96.890, 250, 364
171,   0.010, -0.543,  0.782, 166.870, 54.850, 12.510,  4.330,  1.220, -0.120, 31.900, 37.500, 96.860, 249, 286
172,  -0.106, -0.520,  0.785, 189.670, 55.380,  9.920,  4.640,  0.670, -0.060, 31.960, 37.570, 96.830, 247, 393
173,  -0.148, -0.658,  0.866, 175.870, 58.220,  7.120,  4.880,  0.850, -0.060, 31.920, 37.570, 96.860, 249, 271
174,  -0.029, -0.564,  0.879, 132.360, 62.460,  4.900,  4.150,  1.280, -0.120, 31.940, 37.610, 96.860, 249, 260
175,  -0.034, -0.501,  0.754, 99.550, 64.430,  3.870,  4.390,  0.730, -0.060, 31.940, 37.600, 96.880, 246, 366
176,  -0.127, -0.542,  0.825, 66.960, 59.690,  8.180,  4.760,  0.850, -0.180, 31.920, 37.590, 96.900, 248, 319
177,  -0.104, -0.605,  0.917, 12.870, 55.580, 14.780,  4.460,  1.280, -0.120, 31.890, 37.640, 96.940, 247, 277
178,  -0.038, -0.573,  0.816, -40.990, 54.900, 18.840,  4.390,  0.730, -0.060, 31.940, 37.570, 96.940, 249, 297
179,  -0.028, -0.501,  0.778, -76.950, 54.810, 21.370,  4.580,  0.790,  0.060, 31.940, 37.710, 96.940, 248, 296
180,  -0.101, -0.560,  0.865, -72.720, 51.780, 26.650,  4.030,  0.850, -0.060, 31.890, 37.590, 96.940, 249, 342
181,  -0.116, -0.580,  0.894, -32.320, 48.460, 27.560,  4.270,  0.550, -0.120, 31.890, 37.560, 96.940, 249, 297
182,   0.006, -0.618,  0.775,  2.170, 45.980, 28.610,  4.760,  0.980, -0.060, 31.920, 37.560, 96.940, 247, 257
183,  -0.056, -0.429,  0.796, 31.700, 49.710, 25.230,  4.090,  1.040, -0.240, 31.920, 37.450, 96.940, 247, 364
184,  -0.139, -0.575,  0.874, 82.200, 53.670, 18.840,  4.330,  0.610,  0.120, 31.940, 37.580, 96.940, 247, 315
185,  -0.047, -0.626,  0.869, 140.490, 54.350, 13.260,  4.640,  0.850, -0.120, 31.920, 37.620, 96.940, 248, 269
186,  -0.000, -0.527,  0.765, 177.940, 54.920, 10.510,  4.330,  1.100, -0.120, 31.920, 37.560, 96.940, 248, 268
187,  -0.107, -0.412,  0.792, 189.450, 56.480,  8.560,  4.880,  0.490,  0.060, 31.920, 37.550, 96.940, 248, 287
188,  -0.123, -0.666,  0.892, 164.820, 59.050,  4.830,  4.820,  0.670, -0.060, 31.900, 37.560, 96.940, 249, 314
189,  -0.031, -0.548,  0.834, 121.900, 63.940,  4.160,  4.270,  0.980, -0.060, 31.900, 37.600, 96.940, 248, 360
190,  -0.038, -0.538,  0.737, 95.170, 63.480,  5.070,  4.640,  0.670,  0.060, 31.920, 37.490, 96.940, 250, 367
191,  -0.103, -0.561,  0.834, 59.880, 59.700,  9.900,  4.390,  1.220, -0.120, 31.900, 37.610, 96.940, 249, 367
192,  -0.106, -0.562,  0.896,  3.590, 56.120, 15.520,  4.150,  1.160, -0.120, 31.940, 37.510, 96.940, 249, 295
193,  -0.033, -0.625,  0.760, -50.270, 55.300, 19.080,  4.520,  0.610,  0.180, 31.920, 37.570, 96.940, 246, 354
194,  -0.028, -0.457,  0.793, -80.810, 54.870, 23.120,  4.150,  1.280,  0.000, 31.900, 37.610, 96.940, 249, 354
195,  -0.101, -0.550,  0.888, -80.960, 53.110, 25.490,  4.030,  1.280, -0.180, 31.940, 37.590, 96.940, 247, 343
196,  -0.111, -0.610,  0.847, -48.280, 49.890, 27.540,  4.390,  0.490,  0.120, 31.940, 37.530, 96.940, 250, 306
197,   0.013, -0.605,  0.771, -7.030, 45.320, 29.350,  4.390,  1.160,  0.060, 31.920, 37.590, 96.940, 248, 439
198,  -0.029, -0.432,  0.828, 17.350, 47.420, 27.030,  4.390,  0.980, -0.060, 31.900, 37.620, 96.940, 249, 331
199,  -0.137, -0.597,  0.858, 56.930, 52.060, 23.670,  4.330,  0.670,  0.060, 31.890, 37.500, 96.940, 246, 361
200,  -0.045, -0.614,  0.842, 115.370, 54.720, 16.540,  4.580,  0.980,  0.000, 31.920, 37.560, 96.940, 249, 342
201,  -0.001, -0.501,  0.770, 162.680, 55.090, 12.300,  4.210,  1.040,  0.000, 31.940, 37.590, 96.940, 250, 296
202,  -0.103, -0.442,  0.828, 188.750, 55.420,  9.280,  4.760,  0.610,  0.120, 31.920, 37.590, 96.940, 249, 211
203,  -0.126, -0.650,  0.894, 181.130, 57.860,  7.370,  4.580,  0.790,  0.060, 31.940, 37.570, 96.940, 246, 272
204,  -0.017, -0.554,  0.847, 143.350, 62.150,  5.220,  4.330,  0.980, -0.240, 31.900, 37.640, 96.940, 248, 265
205,  -0.046, -0.511,  0.725, 105.590, 64.990,  3.190,  4.880,  0.550,  0.060, 31.940, 37.530, 96.940, 247, 256
206,  -0.123, -0.557,  0.831, 78.910, 62.070,  6.540,  4.820,  0.920,  0.180, 31.940, 37.610, 96.940, 248, 293
207,  -0.094, -0.575,  0.921, 29.520, 56.900, 13.000,  4.210,  1.220, -0.240, 31.960, 37.620, 96.940, 249, 341
208,  -0.027, -0.622,  0.750, -28.440, 55.410, 18.520,  4.760,  0.670,  0.180, 31.900, 37.520, 96.940, 248, 312
209,  -0.059, -0.495,  0.779, -70.760, 55.240, 20.590,  4.460,  1.280, -0.060, 31.940, 37.590, 96.940, 249, 247
210,  -0.102, -0.550,  0.873, -85.170, 54.160, 24.690,  4.270,  1.400, -0.120, 31.960, 37.540, 96.940, 251, 367
211,  -0.095, -0.628,  0.828, -65.930, 51.430, 26.370,  4.580,  0.670,  0.180, 31.900, 37.620, 96.940, 248, 275
212,   0.019, -0.577,  0.801, -21.700, 47.140, 28.470,  4.520,  1.460, -0.310, 31.940, 37.590, 96.940, 250, 309
213,  -0.038, -0.441,  0.826,  7.040, 46.060, 29.030,  4.390,  0.610, -0.120, 31.920, 37.570, 96.940, 247, 384
