Index, accelX, accelY, accelZ, magX, magY, magZ, gyroX, gyroY, gyroZ, temp, rH, pressure, proximity, maxAudio
45,  -0.069, -0.557,  0.827, 52.470, 55.410, 16.200,  4.700,  0.920,  0.000, 32.030, 37.520, 96.940, 247, 34
46,  -0.070, -0.556,  0.827, 52.720, 55.240, 16.360,  4.580,  1.040,  0.000, 32.010, 37.550, 96.940, 249, 51
47,  -0.071, -0.556,  0.828, 52.260, 55.540, 16.060,  4.520,  1.040,  0.000, 32.050, 37.580, 96.930, 248, 43
48,  -0.069, -0.556,  0.828, 52.170, 55.410, 15.220,  4.460,  0.920, -0.180, 32.050, 37.530, 96.880, 246, 47
49,  -0.070, -0.556,  0.828, 51.970, 54.880, 15.810,  4.390,  0.920,  0.060, 32.030, 37.590, 96.850, 247, 43
50,  -0.070, -0.557,  0.828, 52.040, 55.130, 16.170,  4.640,  1.040,  0.000, 32.030, 37.560, 96.870, 246, 78
51,  -0.070, -0.556,  0.827, 51.660, 55.110, 16.170,  4.330,  1.040,  0.060, 31.990, 37.520, 96.850, 249, 45
52,  -0.070, -0.556,  0.828, 51.770, 55.660, 16.630,  4.700,  0.920,  0.000, 32.030, 37.490, 96.860, 250, -1
53,  -0.069, -0.556,  0.827, 51.710, 55.820, 16.970,  4.390,  1.100,  0.000, 32.010, 37.550, 96.880, 248, 47
54,  -0.069, -0.556,  0.827, 51.400, 55.590, 16.240,  4.390,  0.920,  0.000, 32.010, 37.530, 96.840, 248, 45
55,  -0.069, -0.556,  0.827, 51.700, 55.740, 16.590,  4.640,  0.850, -0.060, 31.990, 37.570, 96.930, 248, 28
56,  -0.069, -0.556,  0.827, 51.570, 55.790, 16.310,  4.580,  1.040,  0.060, 31.970, 37.540, 96.940, 248, 52
57,  -0.069, -0.556,  0.827, 51.760, 55.710, 16.710,  4.580,  1.100,  0.060, 32.010, 37.530, 96.930, 248, 22
58,  -0.069, -0.556,  0.828, 51.590, 55.680, 16.890,  4.640,  1.100,  0.120, 31.990, 37.500, 96.940, 249, 58
59,  -0.070, -0.556,  0.827, 52.250, 55.960, 16.210,  4.640,  1.040,  0.060, 32.030, 37.620, 96.940, 247, 24
60,  -0.070, -0.556,  0.827, 52.050, 55.470, 16.190,  4.640,  1.100,  0.000, 32.060, 37.600, 96.940, 247, 86
61,  -0.069, -0.556,  0.827, 51.670, 55.460, 16.310,  4.700,  1.040,  0.060, 32.050, 37.640, 96.940, 245, 24
62,  -0.070, -0.556,  0.826, 51.390, 55.410, 16.250,  4.520,  1.100,  0.120, 32.030, 37.530, 96.940, 246, 12
63,  -0.068, -0.557,  0.828, 51.480, 55.630, 16.530,  4.580,  1.040,  0.000, 31.960, 37.590, 96.940, 250, 6
64,  -0.070, -0.556,  0.826, 52.390, 55.600, 16.960,  4.520,  0.920,  0.060, 32.010, 37.590, 96.940, 249, 38
65,  -0.068, -0.556,  0.826, 52.230, 55.790, 16.310,  4.580,  1.040,  0.060, 32.010, 37.510, 96.940, 247, 6
66,  -0.069, -0.557,  0.828, 51.840, 55.540, 15.100,  4.760,  1.040,  0.120, 32.010, 37.600, 96.940, 246, 32
67,  -0.069, -0.556,  0.826, 52.200, 55.820, 16.890,  4.460,  1.040,  0.120, 31.990, 37.480, 96.940, 250, 48
68,  -0.070, -0.556,  0.828, 52.200, 55.860, 16.420,  4.390,  1.040,  0.120, 32.030, 37.550, 96.940, 247, 49
69,  -0.068, -0.556,  0.826, 51.820, 55.530, 15.590,  4.580,  0.920, -0.060, 32.050, 37.480, 96.940, 250, 28
70,  -0.069, -0.557,  0.827, 52.330, 55.910, 17.400,  4.580,  1.100, -0.120, 32.010, 37.600, 96.940, 247, 62
71,  -0.069, -0.556,  0.828, 52.080, 55.520, 16.470,  4.520,  1.040,  0.120, 32.050, 37.540, 96.940, 249, 93
72,  -0.069, -0.556,  0.827, 51.760, 55.750, 17.190,  4.460,  0.850,  0.000, 32.030, 37.520, 96.940, 248, 96
73,  -0.069, -0.557,  0.826, 51.980, 55.690, 15.950,  4.210,  0.980,  0.180, 32.010, 37.510, 96.940, 251, 52
74,  -0.070, -0.557,  0.827, 51.970, 55.260, 16.060,  4.330,  0.980,  0.000, 32.030, 37.490, 96.940, 249, 60
75,  -0.069, -0.556,  0.827, 52.080, 55.550, 16.220,  4.520,  1.040,  0.120, 32.030, 37.550, 96.940, 249, 11
76,  -0.069, -0.556,  0.827, 52.140, 55.430, 16.370,  4.330,  0.920,  0.000, 32.050, 37.560, 96.940, 246, -1
77,  -0.069, -0.556,  0.827, 52.400, 55.790, 15.610,  4.460,  1.160, -0.060, 32.050, 37.500, 96.940, 249, 2
78,  -0.069, -0.556,  0.827, 51.990, 55.520, 16.100,  4.460,  0.980, -0.060, 31.990, 37.510, 96.940, 248, 20
79,  -0.069, -0.556,  0.828, 51.920, 55.130, 16.380,  4.520,  0.920, -0.120, 31.990, 37.470, 96.940, 249, 14
80,  -0.068, -0.556,  0.827, 52.250, 55.410, 15.950,  4.390,  0.850,  0.060, 31.960, 37.560, 96.940, 247, 44
81,  -0.069, -0.556,  0.827, 51.650, 55.370, 16.060,  4.270,  0.980,  0.060, 32.030, 37.530, 96.940, 248, 66
82,  -0.069, -0.556,  0.827, 51.930, 55.300, 16.360,  4.520,  1.040,  0.060, 32.010, 37.620, 96.940, 248, 37
83,  -0.070, -0.556,  0.827, 52.250, 55.240, 16.160,  4.520,  0.920, -0.060, 32.030, 37.580, 96.940, 250, 17
84,  -0.070, -0.556,  0.828, 51.870, 55.860, 17.410,  4.580,  1.100,  0.240, 32.010, 37.500, 96.940, 246, 6
85,  -0.069, -0.556,  0.826, 52.820, 55.820, 16.040,  4.580,  0.980,  0.120, 32.060, 37.560, 96.940, 248, 11
86,  -0.070, -0.556,  0.828, 52.030, 55.030, 16.350,  4.700,  1.040,  0.000, 32.050, 37.530, 96.940, 247, 24
87,  -0.069, -0.556,  0.828, 52.420, 54.690, 15.260,  4.640,  1.040, -0.060, 32.030, 37.470, 96.940, 246, 35
88,  -0.069, -0.556,  0.827, 52.500, 55.470, 15.670,  4.580,  0.920,  0.180, 32.010, 37.520, 96.940, 248, 34
89,  -0.069, -0.557,  0.828, 52.370, 55.830, 15.000,  4.640,  0.980,  0.000, 32.030, 37.580, 96.940, 250, 16
90,  -0.070, -0.556,  0.828, 51.860, 55.880, 16.190,  4.640,  1.160,  0.060, 31.970, 37.530, 96.940, 248, 3
91,  -0.069, -0.557,  0.828, 51.990, 55.440, 14.750,  4.580,  0.850, -0.120, 32.010, 37.550, 96.940, 248, 26
92,  -0.070, -0.556,  0.828, 52.100, 55.700, 15.250,  4.580,  0.850,  0.000, 32.010, 37.590, 96.940, 248, 26
93,  -0.069, -0.557,  0.828, 51.530, 55.910, 16.470,  4.520,  0.920,  0.000, 32.050, 37.580, 96.940, 249, 29
94,  -0.068, -0.557,  0.828, 52.480, 55.730, 16.080,  4.460,  0.920,  0.120, 32.030, 37.490, 96.940, 248, 83
95,  -0.069, -0.556,  0.828, 51.530, 55.730, 15.280,  4.580,  0.980, -0.060, 32.050, 37.550, 96.920, 249, 77
96,  -0.070, -0.555,  0.829, 52.620, 55.620, 16.270,  4.520,  0.850, -0.060, 32.030, 37.520, 96.870, 249, 39
97,  -0.070, -0.556,  0.828, 52.310, 55.350, 15.750,  4.580,  1.040, -0.060, 32.050, 37.530, 96.850, 248, 19
98,  -0.070, -0.556,  0.829, 51.830, 55.250, 16.390,  4.820,  0.920,  0.120, 32.010, 37.480, 96.870, 248, 36
99,  -0.070, -0.556,  0.828, 52.000, 55.660, 15.380,  4.330,  0.920,  0.000, 32.050, 37.520, 96.830, 248, 20
100,  -0.069, -0.556,  0.829, 52.220, 55.330, 16.970,  4.460,  0.920,  0.000, 32.050, 37.580, 96.880, 247, 78
101,  -0.069, -0.555,  0.828, 51.840, 55.800, 16.610,  4.460,  0.850,  0.060, 32.080, 37.570, 96.860, 249, 79
102,  -0.070, -0.556,  0.827, 52.420, 55.490, 14.370,  4.460,  1.040,  0.000, 32.010, 37.510, 96.900, 247, 13
103,  -0.069, -0.557,  0.828, 52.370, 55.700, 15.370,  4.700,  0.980,  0.120, 31.990, 37.550, 96.940, 250, 17
104,  -0.070, -0.556,  0.828, 52.340, 55.850, 16.220,  4.460,  1.040, -0.120, 32.030, 37.570, 96.940, 246, -1
