Index, accelX, accelY, accelZ, magX, magY, magZ, gyroX, gyroY, gyroZ, temp, rH, pressure, proximity, maxAudio
572,  -0.095, -0.590,  0.865, -7.570, 55.510, 16.520,  3.970,  0.980,  0.180, 31.850, 37.790, 96.940, 250, 121
573,  -0.065, -0.610,  0.792, -45.020, 54.980, 19.840,  4.700,  0.730, -0.120, 31.850, 37.860, 96.940, 248, 150
574,  -0.036, -0.492,  0.805, -59.520, 52.930, 24.170,  4.090,  1.160, -0.240, 31.830, 37.730, 96.930, 248, 131
575,  -0.106, -0.547,  0.838, -44.340, 50.790, 25.730,  4.150,  0.850, -0.120, 31.810, 37.680, 96.930, 247, 136
576,  -0.096, -0.623,  0.838, -9.630, 47.170, 27.970,  4.580,  0.850,  0.000, 31.830, 37.700, 96.940, 247, 135
577,  -0.029, -0.538,  0.801, 10.220, 46.550, 27.370,  4.460,  0.920, -0.120, 31.830, 37.850, 96.930, 247, 116
578,  -0.062, -0.513,  0.808, 38.050, 50.160, 24.670,  4.150,  0.920,  0.000, 31.870, 37.750, 96.940, 247, 162
579,  -0.112, -0.605,  0.840, 84.270, 53.470, 19.200,  4.700,  0.730,  0.120, 31.830, 37.710, 96.940, 247, 173
580,  -0.071, -0.592,  0.854, 129.930, 55.150, 15.380,  4.390,  0.790,  0.000, 31.810, 37.740, 96.940, 248, 132
581,  -0.039, -0.540,  0.818, 159.360, 55.690, 12.100,  4.330,  0.920, -0.120, 31.810, 37.870, 96.940, 246, 136
582,  -0.084, -0.546,  0.788, 160.690, 57.460,  9.090,  4.700,  0.850,  0.060, 31.850, 37.840, 96.940, 247, 168
583,  -0.104, -0.576,  0.854, 133.890, 60.840,  6.480,  4.520,  0.790, -0.060, 31.850, 37.800, 96.940, 246, 142
584,  -0.048, -0.547,  0.860, 105.190, 64.810,  5.470,  4.390,  1.100,  0.000, 31.830, 37.830, 96.940, 249, 104
585,  -0.050, -0.563,  0.774, 84.720, 62.260,  6.210,  4.820,  0.920,  0.000, 31.830, 37.690, 96.940, 247, 132
586,  -0.094, -0.543,  0.821, 49.490, 58.670, 11.730,  4.460,  0.980,  0.060, 31.830, 37.790, 96.930, 248, 118
587,  -0.083, -0.556,  0.887,  0.390, 55.600, 15.980,  4.150,  1.040, -0.120, 31.830, 37.750, 96.930, 248, 117
588,  -0.053, -0.611,  0.811, -39.790, 55.030, 19.010,  4.390,  1.220,  0.060, 31.850, 37.840, 96.940, 249, 130
589,  -0.061, -0.535,  0.777, -58.870, 53.390, 22.920,  4.640,  0.850,  0.120, 31.830, 37.770, 96.930, 248, 155
590,  -0.091, -0.517,  0.855, -48.000, 51.280, 24.510,  4.210,  1.160, -0.180, 31.810, 37.760, 96.940, 251, 138
591,  -0.072, -0.578,  0.891, -14.620, 47.170, 27.480,  4.460,  1.040,  0.120, 31.850, 37.830, 96.930, 246, 136
592,  -0.054, -0.583,  0.795,  7.260, 46.790, 27.970,  4.760,  0.920,  0.180, 31.800, 37.790, 96.940, 248, 150
593,  -0.055, -0.484,  0.805, 30.750, 49.600, 24.770,  4.270,  1.100, -0.120, 31.830, 37.760, 96.940, 247, 138
594,  -0.089, -0.547,  0.874, 74.210, 52.970, 19.530,  3.970,  0.980, -0.120, 31.810, 37.800, 96.940, 250, 102
595,  -0.074, -0.620,  0.839, 123.160, 55.200, 15.060,  4.880,  0.980, -0.060, 31.850, 37.810, 96.940, 246, 137
