maxAudio_max,acc_max,mag_max,gyro_max,maxAudio_min,acc_min,mag_min,gyro_min,maxAudio_skew,acc_skew,mag_skew,gyro_skew,maxAudio_kurtosis,acc_kurtosis,mag_kurtosis,gyro_kurtosis,maxAudio_sum,acc_sum,mag_sum,gyro_sum,maxAudio_mean,acc_mean,mag_mean,gyro_mean,maxAudio_std,acc_std,mag_std,gyro_std,maxAudio_var,acc_var,mag_var,gyro_var,class
3.65000e+02,1.06858e+00,1.40050e+02,4.58852e+00,9.10000e+01,9.25578e-01,5.40760e+01,4.25118e+00,1.16348e+00,-2.82080e-01,1.49882e+00,9.37424e-01,1.48358e+00,-1.69882e+00,2.63455e+00,-3.24092e-01,1.73900e+03,9.03614e+00,7.21163e+02,3.94747e+01,1.93222e+02,1.00402e+00,8.01292e+01,4.38608e+00,8.20134e+01,5.29708e-02,2.67805e+01,1.25700e-01,6.72619e+03,2.80590e-03,7.17194e+02,1.58006e-02,2.00000e+00
4.17000e+02,1.06458e+00,1.84161e+02,4.62541e+00,1.48000e+02,9.32500e-01,5.83431e+01,4.29373e+00,1.25686e+00,5.38645e-01,8.39961e-01,1.12852e+00,8.12346e-01,-4.67180e-01,-5.13122e-01,-1.84229e-01,2.04800e+03,8.86720e+00,9.65727e+02,3.96331e+01,2.27556e+02,9.85245e-01,1.07303e+02,4.40368e+00,9.25029e+01,4.54934e-02,4.33275e+01,1.20783e-01,8.55678e+03,2.06965e-03,1.87727e+03,1.45886e-02,2.00000e+00
2.18000e+02,1.05730e+00,1.52806e+02,4.73980e+00,1.61000e+02,9.49253e-01,5.68108e+01,4.33195e+00,-2.96831e-01,-9.04030e-04,7.20853e-01,-1.33540e+00,6.92877e-01,-5.99028e+00,-1.25951e+00,1.20216e+00,7.63000e+02,4.01417e+00,3.89225e+02,1.83775e+01,1.90750e+02,1.00354e+00,9.73062e+01,4.59437e+00,2.36696e+01,6.13304e-02,4.31398e+01,1.87206e-01,5.60250e+02,3.76142e-03,1.86104e+03,3.50460e-02,2.00000e+00
5.80000e+01,1.00037e+00,7.82971e+01,4.69659e+00,0.00000e+00,9.98154e-01,7.71475e+01,4.40148e+00,3.55548e-02,-7.33881e-01,-2.88637e-01,-9.60753e-01,-1.75714e+00,6.65847e-03,-6.85297e-01,1.66344e+00,2.88000e+02,8.99623e+00,7.00344e+02,4.12797e+01,3.20000e+01,9.99581e-01,7.78160e+01,4.58663e+00,2.17428e+01,7.49692e-04,3.86200e-01,8.85242e-02,4.72750e+02,5.62038e-07,1.49151e-01,7.83653e-03,0.00000e+00
6.90000e+01,1.00148e+00,7.85701e+01,4.87229e+00,-1.00000e+00,9.97598e-01,7.77684e+01,4.45314e+00,-9.70786e-01,1.54499e-01,1.73292e-01,2.12661e-01,-3.16399e-01,2.63850e-02,-2.21158e+00,8.13319e-01,3.77000e+02,8.99644e+00,7.03227e+02,4.19268e+01,4.18889e+01,9.99605e-01,7.81363e+01,4.65853e+00,2.46700e+01,1.20032e-03,3.43917e-01,1.20140e-01,6.08611e+02,1.44078e-06,1.18279e-01,1.44336e-02,0.00000e+00
7.20000e+01,1.00037e+00,7.85207e+01,4.73185e+00,1.20000e+01,9.98085e-01,7.75442e+01,4.32297e+00,5.14133e-01,9.30270e-01,5.00642e-01,-4.34434e-01,-4.01747e-01,2.84405e+00,-2.96321e-01,-1.22191e+00,3.66000e+02,8.99154e+00,7.01819e+02,4.09395e+01,4.06667e+01,9.99060e-01,7.79798e+01,4.54883e+00,2.02731e+01,6.11049e-04,3.03532e-01,1.40267e-01,4.11000e+02,3.73381e-07,9.21319e-02,1.96747e-02,0.00000e+00
1.09000e+02,9.99810e-01,7.83890e+01,1.61774e+01,2.70000e+01,9.98288e-01,7.76269e+01,4.40189e+00,-1.70252e-01,2.80031e-01,7.79591e-01,2.99570e+00,6.42528e-01,5.25295e-01,-3.43525e-01,8.98094e+00,6.39000e+02,8.99186e+00,7.01252e+02,5.28034e+01,7.10000e+01,9.99096e-01,7.79169e+01,5.86704e+00,2.42539e+01,4.72683e-04,2.55767e-01,3.86783e+00,5.88250e+02,2.23429e-07,6.54168e-02,1.49601e+01,0.00000e+00
5.10000e+01,9.99880e-01,7.81508e+01,4.78920e+00,-1.00000e+00,9.98085e-01,7.73309e+01,4.55746e+00,-6.88834e-01,-3.85894e-01,-6.71703e-01,5.22822e-01,-1.37530e+00,-6.65960e-01,-5.75593e-01,-2.16962e-01,2.77000e+02,8.99243e+00,7.00557e+02,4.18771e+01,3.07778e+01,9.99159e-01,7.78397e+01,4.65301e+00,1.97723e+01,6.07568e-04,2.77625e-01,7.37360e-02,3.90944e+02,3.69138e-07,7.70756e-02,5.43699e-03,0.00000e+00
7.80000e+01,1.00037e+00,7.79601e+01,4.78920e+00,-1.00000e+00,9.98912e-01,7.72485e+01,4.45355e+00,-4.48088e-01,1.24438e+00,-8.54468e-01,-7.38634e-01,7.44082e-01,1.89563e-01,-1.76851e-01,-1.40370e+00,3.74000e+02,8.99346e+00,6.99112e+02,4.19043e+01,4.15556e+01,9.99273e-01,7.76791e+01,4.65603e+00,2.27437e+01,5.51961e-04,2.30920e-01,1.30443e-01,5.17278e+02,3.04661e-07,5.33241e-02,1.70154e-02,0.00000e+00
8.60000e+01,1.00030e+00,7.82687e+01,4.87377e+00,6.00000e+00,9.98016e-01,7.72998e+01,4.51310e+00,9.44562e-01,4.80740e-01,-4.17734e-02,1.31453e-01,9.86350e-01,-1.65172e+00,-2.01797e+00,-6.34684e-01,3.01000e+02,8.99064e+00,7.00506e+02,4.22109e+01,3.34444e+01,9.98960e-01,7.78340e+01,4.69010e+00,2.57250e+01,9.40565e-04,3.83821e-01,1.15006e-01,6.61778e+02,8.84662e-07,1.47319e-01,1.32263e-02,0.00000e+00
9.60000e+01,9.99740e-01,7.85310e+01,4.71177e+00,-1.00000e+00,9.98642e-01,7.75401e+01,4.32630e+00,1.76214e-01,7.58700e-01,1.24561e+00,-5.42634e-01,-1.56563e+00,-9.37805e-01,2.73042e+00,-5.74397e-01,3.95000e+02,8.99195e+00,7.01335e+02,4.08994e+01,4.38889e+01,9.99106e-01,7.79261e+01,4.54438e+00,3.74214e+01,3.74931e-04,2.76170e-01,1.24124e-01,1.40036e+03,1.40573e-07,7.62698e-02,1.54067e-02,0.00000e+00
